text,label
"@Tom174_ @davidbest95 Meine Reaktion; |LBR| Nicht jeder Moslem ist ein Terrorist. Aber jeder Moslem glaubt an Überlieferungen, die Gewalt und Terror begünstigen.",0
"#Merkel rollt dem Emir von #Katar, der islamistischen Terror unterstützt, den roten Teppich aus.Wir brauchen einen sofortigen #Waffenstopp!",0
„Merle ist kein junges unschuldiges Mädchen“ Kch....... 😱 #tatort,0
@umweltundaktiv Asylantenflut bringt eben nur negatives für Deutschland. Drum Asylanenstop und Rückführung der Mehrzahl.,1
@_StultaMundi Die Bibel enthält ebenfalls Gesetze des Zivil- und Strafrechts.,0
"@Thueringen_ @Miquwarchar @Pontifex_de Man munkelt, Franziskus ist großer ""Kiss""- und ""Black Sabbath""-Fan! #RockOn",0
"@hugresch @saltomentale Seit dem ist die Gesellschaft noch einmal deutlich vielfältiger geworden, auch durch die Globalisierung.",0
"Wenn man Mädchen bildet, bildet man Generationen - Aqeela Asifi, Gewinnerin des #NansenAward 2015.",0
"@FeePatzer Frauen zu einem ""Ja"" zu überreden, ist nicht selten erfolgreich. Viele Frauen wollen nicht als zu leicht zu haben angesehen werden. Oder mögen das Spiel. Oder wollen testen, ob er wirklich interessiert ist.",1
"@IvyandWoe Ich weiß halt, wie man Frauen zum Miauen bringt ☺",1
"Liebe Freunde, Gauck,das Symbol des Sklaventums!",1
@mountainman1977 @StapelChipsYT Au ja. Ich stell Dir Dein Zeugnis aus :),0
wen interessiert denn die Meinung des Außenminister @SigmarGabriel der in meinen Augen strunzdumm ist #SPD,1
"@ZeichenTaten @mountainman1977 @ThomasMichael71 Du meinst also, wir sollten unseren Überschuss an Afrika verschenken?",0
@LWaff @UnzufriedenerB |LBR| Laßt doch endlich mal das Wort Nazi Nationalsozialist als Schimpfwort aus dem Spiel.Verdammt noch mal.,1
"@heuteshow Besser einen schwarz arbeiten zu lassen als PÄDOPHILE Bastarde in der Partei zu dulden, wie es in der GroKo schon mal vorkommt",1
@elmo31226 @MartinSchulz @Ralf_Stegner Von mir aus könnt ihr jämmerlich verrecken,1
@BlondJedi @dittmar_katrin Zum Mond? Da sind doch auf der Kehrseite schon die Reichsdeutschen mit ihren Flugscheiben -UFOS.,1
"@MarioBuchinger @Tevsa Haben Sie denn Probleme damit, dass weniger Männer als Frauen in der Kosmetikindustrie oder in der Modelbranche arbeiten?",0
